date,time ,waypoint,n.group,n.ads,n.juv,n.par,n.male,n.fem,terrain,activity,weather,species,n.het,tag
08/06/16,09:55,B001,4,2,0,,,,l,f,cloudy,barnie,,
08/06/16,09:55,B001,4,2,0,,,,l,f,cloudy,barnie,,
08/06/16,10:41,K001,19,2,4,2,1,1,b,e,cloudy,wfg,5,
08/06/16,10:45,K001,19,2,6,2,1,1,b,e,cloudy,wfg,5,
08/06/16,10:45,K001,19,2,3,2,1,1,b,e,cloudy,wfg,5,
08/06/16,12:07,K002,4,2,2,2,1,1,w,s,cloudy,wfg,2,
08/06/16,20:42,K003,2,2,0,,1,1,l,w,cloudy ,wfg,,
08/07/16,10:45,K004,6,2,4,2,1,1,w,e,cloudy,wfg,,
08/07/16,13:45,Camp 001,3,2,1,2,1,1,l,e,cloudy,wfg,,
08/07/16,13:45,Camp 001,4,2,2,2,1,1,l,e,cloudy,wfg,,
08/07/16,13:45,Camp 001,4,2,2,2,1,1,l,e,cloudy,wfg,,
08/08/16,09:29,Camp 001,12,1,1,1,0,1,w,s,cloudy,king eider,,
08/08/16,09:29,Camp 001,12,1,3,1,0,1,w,s,cloudy,king eider,,
08/08/16,09:29,Camp 001,14,1,7,1,0,1,w,s,cloudy,long tailed duck,,
08/08/16,09:29,Camp 001,14,1,5,1,0,1,w,s,cloudy,scaup,,
08/09/16,10:48,K006,4,2,2,2,1,1,,e,fog,wfg,,
08/09/16,11:11,K007,2,2,0,,1,1,l,e,fog,wfg,,
08/09/16,11:28,B002,7,2,5,2,1,1,l,e,fog,barnie,,
08/09/16,11:30,K008,4,2,2,2,1,1,l,e,fog,wfg,,
08/09/16,11:43,K009,2,2,0,,1,1,l,e,fog,wfg,,
08/09/16,12:12,K010,11,9,2,,,,l,e,fog,wfg,,
08/09/16,13:09,K011,4,2,2,2,1,1,l,e,fog,wfg,,
08/09/16,13:50,K011,4,2,2,2,1,1,l,e,fog,wfg,,
08/09/16,14:42,K012,17,2,2,2,1,1,w,s,clouds,wfg,13,
08/09/16,16:34,K013,2,2,0,,1,1,a,e,clouds,wfg,,
08/09/16,16:34,K013,21,21,0,,,,a,e,clouds,wfg,,
08/09/16,16:49,K014,2,2,0,,,,l,e,clouds,wfg,,
08/09/16,16:53,K015,5,5,0,,,,a,e,clouds,wfg,,
08/09/16,17:58,K016,5,2,3,2,1,1,l,e,fog,wfg,,
08/09/16,18:00,L006,13,2,4,2,1,1,w,s,fog,wfg,,
08/09/16,18:00,L006,13,2,5,2,1,1,w,s,fog,wfg,,
08/09/16,18:58,K017,2,2,0,,,,l,e,fog,wfg,,
08/10/16,10:20,K018,7,2,5,2,1,1,l,e,clear,wfg,,
08/10/16,10:38,K018,3,2,1,2,1,1,l,e,clear,wfg,,
08/10/16,10:57,L005,7,2,5,2,1,1,w,f,clouds,wfg,,
08/10/16,10:58,L005,4,2,2,2,1,1,w,f,clouds,wfg,,
08/10/16,11:05,L005,4,2,2,2,1,1,l,f,clouds,wfg,,
08/10/16,11:08,L005,4,2,2,2,1,1,l,f,clouds,wfg,,
08/10/16,11:13,L005,4,2,2,2,1,1,w,f,clouds,wfg,,
08/10/16,11:13,L005,4,2,2,2,1,1,b,f,clouds,wfg,,
08/10/16,11:23,L005,5,2,3,2,1,1,b,f,clouds,wfg,,
08/10/16,11:49,L005,7,2,5,2,1,1,b,f,clouds,wfg,,
08/10/16,12:02,L005,3,2,1,2,1,1,l,e,clouds,wfg,,
08/10/16,12:02,L005,3,2,1,2,1,1,l,e,clouds,wfg,,
08/10/16,12:16,L007,4,4,0,,,,b,f,clouds,wfg,,
08/10/16,12:18,L007,5,2,3,2,1,1,b,f,clouds,wfg,,
08/10/16,12:22,L007,4,2,2,2,1,1,b,e,clouds,wfg,,
08/10/16,12:35,L007,2,2,0,,,,b,e,clouds,wfg,,
08/10/16,17:02,L002,5,2,3,2,1,1,l,e,rain,wfg,1,
08/10/16,17:02,L002,3,2,1,2,1,,b,e,rain,wfg,1,
08/10/16,17:02,L002,3,2,1,2,1,1,b,f,rain,wfg,1,
08/10/16,21:03,K020,4,1,3,1,,,l,e,clear,wfg,4,
08/11/16,11:54,L010,7,2,5,2,1,1,b,e,clear,wfg,4,
08/11/16,11:54,L010,6,2,4,2,1,1,b,e,clouds,wfg,4,
08/11/16,11:54,L010,5,2,3,2,1,1,b,e,clouds,wfg,4,
08/11/16,12:45,L009,71,2,3,2,1,1,w,e,clouds,wfg,4,
08/11/16,12:45,L009,71,2,3,2,1,1,w,e,clouds,wfg,4,
08/11/16,12:45,L009,71,2,2,2,1,1,w,e,clouds,wfg,4,1VS
08/11/16,12:45,L009,71,2,3,2,1,1,w,e,clouds,wfg,4,
08/11/16,12:45,L009,71,2,1,2,1,1,w,e,clouds,wfg,4,
08/11/16,12:45,L009,71,2,2,2,1,1,w,e,clouds,wfg,4,
08/11/16,12:45,L009,71,2,2,2,1,1,w,e,clouds,wfg,4,
08/11/16,12:45,L009,71,2,0,,,,w,e,clouds,wfg,4,
08/11/16,12:45,L009,71,3,2,2,1,1,w,e,clouds,wfg,4,
08/11/16,12:45,L009,71,2,1,2,1,1,w,e,clouds,wfg,4,
08/11/16,12:45,L009,71,2,0,2,1,1,w,e,clouds,wfg,4,
08/11/16,12:45,L009,71,2,1,2,1,1,w,e,clouds,wfg,4,
08/11/16,12:45,L009,71,2,1,2,1,1,w,e,clouds,wfg,4,
08/11/16,12:45,L009,71,2,2,2,1,1,w,e,clouds,wfg,4,
08/11/16,12:45,L009,71,2,2,2,1,1,w,e,clouds,wfg,4,
08/11/16,12:45,L009,71,1,5,1,,,w,e,clouds,wfg,4,
08/11/16,12:45,L009,71,1,3,1,,,w,e,clouds,wfg,4,
08/11/16,12:45,L009,71,2,1,2,1,1,w,e,clouds,wfg,4,
08/11/16,12:45,L009,71,2,1,2,1,1,w,e,clouds,wfg,4,
08/11/16,12:45,L009,71,1,1,1,,,w,e,clouds,wfg,4,
08/11/16,12:45,L009,71,2,1,2,1,1,w,e,clouds,wfg,4,
08/12/16,12:39,L011,64,2,3,2,1,1,w,e,clear,wfg,26,
08/12/16,12:39,L011,64,2,6,2,1,1,w,e,clear,wfg,26,
08/12/16,12:39,L011,64,2,4,2,1,1,w,e,clear,wfg,26,
08/12/16,12:39,L011,64,2,1,2,1,1,w,e,clear,wfg,26,
08/12/16,12:39,L011,64,2,0,2,1,1,w,e,clear,wfg,26,
08/12/16,12:39,L011,64,2,1,2,1,1,w,e,clear,wfg,26,
08/12/16,12:39,L011,64,2,1,2,1,1,w,e,clear,wfg,26,
08/12/16,12:39,L011,64,2,6,2,1,1,w,e,clear,wfg,26,
08/12/16,12:39,L011,64,2,1,2,1,1,w,e,clear,wfg,26,
08/12/16,12:39,L011,64,2,1,2,1,1,w,e,clear,wfg,26,
08/12/16,12:39,L011,64,2,3,2,1,1,w,e,clear,wfg,26,
08/12/16,12:39,L011,64,2,3,2,1,1,w,e,clear,wfg,26,
08/12/16,12:39,L011,64,7,0,2,1,1,w,e,clear,wfg,26,U01
08/13/16,11:56,L012,12,2,4,2,1,1,w,e,clouds,wfg,29,
08/13/16,11:56,L012,12,2,1,2,1,1,w,e,clouds,wfg,29,
08/13/16,11:56,L012,12,2,1,2,1,1,w,e,clouds,wfg,29,
08/13/16,13:56,L012,4,2,2,2,1,1,a,f,clouds,wfg,,
08/13/16,14:21,L013,29,2,3,2,1,1,w,e,clouds,wfg,66,
08/13/16,14:21,L013,29,2,1,2,1,1,w,e,clouds,wfg,66,
08/13/16,14:21,L013,29,2,1,2,1,1,w,e,clouds,wfg,66,
08/13/16,14:21,L013,29,2,2,2,1,1,w,e,clouds,wfg,66,
08/13/16,14:21,L013,29,2,2,2,1,1,w,e,clouds,wfg,66,
08/13/16,14:21,L013,29,2,1,2,1,1,w,e,clouds,wfg,66,
08/13/16,14:21,L013,29,2,4,2,1,1,l,e,clouds,wfg,66,
08/12/16,11:20,L011,4,2,2,2,1,1,l,e,clear,wfg,,
08/12/16,11:20,L011,7,2,5,2,1,1,l,e,clear,wfg,,
08/12/16,11:20,L011,6,2,4,2,1,1,l,e,clear,wfg,,
08/12/16,11:20,L011,6,2,4,2,1,1,l,e,clear,wfg,,
08/13/16,15:46,L015,5,2,3,2,1,1,w,f,clouds,wfg,,
08/13/16,16:08,L014,20,2,0,2,1,1,w,f,clouds,wfg,22,
08/13/16,16:08,L014,20,2,1,2,1,1,w,f,clouds,wfg,22,
08/13/16,16:08,L014,20,2,2,2,1,1,w,f,clouds,wfg,22,
08/13/16,16:08,L014,20,2,3,2,1,1,w,f,clouds,wfg,22,
08/13/16,16:08,L014,20,2,1,2,1,1,w,f,clouds,wfg,22,
08/13/16,16:08,L014,20,2,0,2,1,1,w,f,clouds,wfg,22,
08/14/16,09:30,K021,4,2,2,2,1,1,l,e,clouds,wfg,,
08/14/16,09:30,K021,2,2,0,,,,l,e,clouds,wfg,,
08/14/16,09:30,K021,2,2,0,,,,l,e,clouds,wfg,,
08/14/16,09:30,K021,3,2,1,2,1,1,l,e,clouds,wfg,,
08/14/16,09:30,K021,2,2,0,,,,l,e,clouds,wfg,,
08/14/16,10:15,K022,6,2,2,2,1,1,l,f,overcast,wfg,,U26
08/14/16,10:20,K022,6,2,0,,1,1,l,f,overcast,wfg,,
08/14/16,10:45,K023,4,2,2,2,1,1,l,f,overcast,wfg,,
08/14/16,11:01,K023,5,2,3,2,1,1,l,f,overcast,wfg,,
08/14/16,11:01,K023,2,2,0,2,1,1,l,f,overcast,wfg,,
08/14/16,11:08,L006,3,2,1,2,1,1,l,f,rain,wfg,15,
08/14/16,11:08,L006,5,2,3,2,1,1,l,f,rain,wfg,15,
08/14/16,11:08,L006,4,2,2,2,1,1,l,f,rain,wfg,15,
08/14/16,11:33,K024,5,2,3,2,1,1,l,f,overcast,wfg,27,
08/14/16,11:33,K024,2,2,0,,,,l,f,overcast,wfg,27,
08/14/16,11:33,K024,2,2,0,,,,l,f,overcast,wfg,27,
08/14/16,11:33,K024,2,2,0,,,,l,f,overcast,wfg,27,
08/14/16,11:33,K024,2,2,0,,,,l,f,overcast,wfg,27,
08/14/16,11:33,K024,3,2,1,2,1,1,l,f,overcast,wfg,27,
08/14/16,11:33,K024,4,2,2,2,1,1,l,f,overcast,wfg,27,
08/14/16,11:33,K024,4,2,2,2,1,1,l,f,overcast,wfg,27,
08/14/16,11:33,K024,2,2,0,,,,l,f,overcast,wfg,27,
08/14/16,11:33,K024,5,2,3,2,1,1,l,f,overcast,wfg,27,
08/14/16,11:33,K024,3,2,1,2,1,1,l,f,overcast,wfg,27,
08/14/16,11:33,K024,2,2,0,,,,l,f,overcast,wfg,27,
08/14/16,11:33,K024,3,2,1,2,1,1,l,f,overcast,wfg,27,
08/14/16,11:33,K024,3,2,1,2,1,1,l,f,overcast,wfg,27,
08/14/16,11:33,K024,4,2,2,2,1,1,l,f,overcast,wfg,27,
08/14/16,11:33,K024,4,4,0,,,,l,f,overcast,wfg,27,
08/14/16,11:33,K024,5,2,3,2,1,1,l,f,overcast,wfg,27,
08/14/16,11:33,K024,3,2,1,2,1,1,l,f,overcast,wfg,27,
08/14/16,11:33,K024,2,2,0,,,,l,f,overcast,wfg,27,
08/14/16,11:33,K024,2,2,0,,,,l,f,overcast,wfg,27,
08/14/16,11:33,K024,2,2,0,,,,l,f,overcast,wfg,27,
08/14/16,11:33,K024,4,2,2,2,1,1,l,f,overcast,wfg,27,
08/14/16,11:33,K024,2,2,0,,,,l,f,overcast,wfg,27,
08/14/16,11:33,K024,5,2,3,2,1,1,l,f,overcast,wfg,27,
08/14/16,20:45,Camp 001,4,2,2,2,1,1,a,e,overcast,wfg,,
08/15/16,08:25,Camp 001,5,2,3,2,1,1,a,e,clear,wfg,,
